2903	Oxley	ACT	-35.4095	149.0786
2903	Erindale Centre	ACT	-35.4037	149.0847
2903	Wanniassa	ACT	-35.3978	149.0909
2904	Fadden	ACT	-35.405	149.1166
2904	Monash	ACT	-35.4158	149.0906
2904	Gowrie	ACT	-35.4119	149.109
2904	Macarthur	ACT	-35.4089	149.127
2905	Chisholm	ACT	-35.4125	149.1283
2905	Isabella Plains	ACT	-35.4283	149.088
2905	Theodore	ACT	-35.4496	149.1197
2905	Calwell	ACT	-35.4404	149.1071
2905	Gilmore	ACT	-35.4199	149.1348
2905	Richardson	ACT	-35.4279	149.1138
2905	Bonython	ACT	-35.4333	149.0782
2906	Banks	ACT	-35.4719	149.0997
2906	Gordon	ACT	-35.4568	149.085
2906	Conder	ACT	-35.4593	149.1042
2911	Mitchell	ACT	-35.217	149.137
2911	Crace	ACT	-35.2028	149.1074
2911	Kenny	ACT	-35.2283	149.1533
2912	Gungahlin	ACT	-35.1867	149.1362
2913	Casey	ACT	-35.167	149.0947
2913	Palmerston	ACT	-35.1945	149.1194
2913	Ginninderra Village	ACT	-35.1783	149.1124
2913	Nicholls	ACT	-35.1873	149.0965
2913	Taylor	ACT	-35.1489	149.1092
2913	Ngunnawal	ACT	-35.1728	149.1115
2913	Franklin	ACT	-35.1995	149.1433
2914	Throsby	ACT	-35.1865	149.1621
2914	Forde	ACT	-35.1682	149.1461
2914	Moncrieff	ACT	-35.1651	149.1179
2914	Bonner	ACT	-35.1623	149.1386
2914	Jacka	ACT	-35.1568	149.1288
2914	Harrison	ACT	-35.1991	149.1563
2914	Amaroo	ACT	-35.1696	149.128
2540	Hmas Creswell	ACT	-35.0036	150.586
2540	Jervis Bay	ACT	-35.0036	150.586
2540	Wreck Bay	ACT	-35.0036	150.586
1405	Chullora	NSW	-33.8923	151.0473
1874	Moorebank	NSW	-33.9437	150.9566
2641	Hamilton Valley	NSW	-36.0379	146.9177
2641	Lavington Dc	NSW	-36.0362	146.935
2641	Lavington	NSW	-36.0398	146.9396
2641	Springdale Heights	NSW	-36.031	146.9478
2708	Albury Msc	NSW	-34.7062	146.4742
3691	Lake Hume Village	NSW	-36.2676	147.0798
2351	University Of New England	NSW	-30.7539	151.1366
2369	Tingha	NSW	-29.9559	151.2125
2369	Old Mill	NSW	-29.9196	151.2146
2369	Stannifer	NSW	-29.8833	151.2167
2370	Dundee	NSW	-29.5724	151.8663
2370	Matheson	NSW	-29.7383	151.574
2370	Kookabookra	NSW	-30.0333	152.0667
2370	Spring Mountain	NSW	-28.5973	153.4457
2370	Glen Innes	NSW	-29.7349	151.7385
2370	Bald Nob	NSW	-29.6574	151.9586
2370	Moggs Swamp	NSW	-29.9475	152.0668
2370	Red Range	NSW	-29.7757	151.8966
2370	Glen Elgin	NSW	-29.5833	152.1167
2370	Swan Vale	NSW	-29.7734	151.4663
2370	Shannon Vale	NSW	-29.6985	151.8679
2370	Newton Boyd	NSW	-29.7976	152.2659
2370	Gibraltar Range	NSW	-29.6666	151.9262
2370	Wellingrove	NSW	-29.6334	151.5692
2370	Lambs Valley	NSW	-29.6666	151.9262
2370	Diehard	NSW	-29.6666	151.9262
2370	Yarrowford	NSW	-29.65	151.7833
2370	Morven	NSW	-29.6666	151.9262
2370	Moogem	NSW	-29.6666	151.9262
2370	Pinkett	NSW	-29.6666	151.9262
2370	Stonehenge	NSW	-29.8164	151.7351
2370	Reddestone	NSW	-29.5565	151.673
2370	Kingsgate	NSW	-29.8006	152.0893
2370	Kingsland	NSW	-29.6666	151.9262
2370	Furracabad	NSW	-29.7818	151.6679
2370	Rangers Valley	NSW	-29.5167	151.75
2478	Coolgardie	NSW	-28.9115	153.4567
2478	Teven	NSW	-28.8167	153.5
2478	Ballina Dc	NSW	-28.8597	153.5354
2478	Pimlico Island	NSW	-28.8597	153.5354
2478	Pimlico	NSW	-28.9152	153.4846
2478	Ballina	NSW	-28.8641	153.5654
2478	Empire Vale	NSW	-28.9168	153.5153
2478	Kinvara	NSW	-28.7863	153.5189
2478	South Ballina	NSW	-28.8841	153.5616
2478	Tintenbar	NSW	-28.7988	153.522
2478	East Ballina	NSW	-28.8571	153.5874
2478	Lennox Head	NSW	-28.7913	153.592
2478	West Ballina	NSW	-28.862	153.5329
2478	Patchs Beach	NSW	-28.9474	153.5147
2478	Keith Hall	NSW	-28.8935	153.549
2478	Cumbalum	NSW	-28.8225	153.5284
2478	Skennars Head	NSW	-28.8289	153.6021
2479	Nashua	NSW	-28.7275	153.469
2479	Fernleigh	NSW	-28.7688	153.4985
2479	Knockrow	NSW	-28.7658	153.5371
2479	Newrybar	NSW	-28.7206	153.529
2479	Possum Creek	NSW	-28.6773	153.4958
2479	Binna Burra	NSW	-28.7016	153.4988
2479	Coorabell	NSW	-28.6333	153.4833
2479	Bangalow	NSW	-28.6863	153.5215
2479	St Helena	NSW	-28.7057	153.5176
2479	Brooklet	NSW	-28.7465	153.5087
2479	Mcleods Shoot	NSW	-28.6522	153.5585
2479	Coopers Shoot	NSW	-28.6828	153.593
2480	Tuckurimba	NSW	-28.9667	153.3167
2480	Federal	NSW	-28.6485	153.4512
2480	Wyrallah	NSW	-28.8893	153.2991
